baseline,mass,friction,noise,delay,disturbance,seed,diverged,stability_margin,learning_drift,rmse_tracking,recovery_time,control_effort,smoothness,tag
B0,0.5,0.1,0.0,0,step,14,False,1.0,0.0,0.1011614024525539,3.5700000000000003,18.57111384383762,3.536033762641279,OK
B0,0.5,0.1,0.0,0,step,15,False,1.0,0.0,0.10116203783932785,2.02,18.570157666493262,3.5360355571167044,OK
B0,0.5,0.1,0.0,0,step,16,False,1.0,0.0,0.10116140704735084,3.2,18.571106929243367,3.5360337756182516,OK
B0,0.5,0.1,0.0,0,step,17,False,1.0,0.0,0.10116139620838058,3.06,18.571123240536537,3.536033745006011,OK
B0,0.5,0.1,0.0,0,step,18,False,1.0,0.0,0.10116158391549528,2.31,18.57084076474112,3.536034275141312,OK
B0,0.5,0.1,0.0,0,step,19,False,1.0,0.0,0.10116097348978302,2.11,18.57175937647682,3.5360325511494377,OK
B0,0.5,0.1,0.0,2,impulse,0,False,1.0,0.0,0.10057496892804396,2.98,22.830152801975096,3.6338533812603346,OK
B0,0.5,0.1,0.0,2,impulse,1,False,1.0,0.0,0.10057494804418063,2.34,22.83017753862027,3.6338533400039945,OK
B0,0.5,0.1,0.0,2,impulse,2,False,1.0,0.0,0.10057502157801385,2.14,22.83009043879649,3.633853485271065,OK
B0,0.5,0.1,0.0,2,impulse,3,False,1.0,0.0,0.10057496278547884,2.6,22.83016007775851,3.633853369125617,OK
B0,0.5,0.1,0.0,2,impulse,4,False,1.0,0.0,0.10057497837321012,2.6,22.83014161430564,3.6338533999193814,OK
B0,0.5,0.1,0.0,2,impulse,5,False,1.0,0.0,0.10057497044257305,3.59,22.830151008036346,3.633853384252305,OK
B0,0.5,0.1,0.0,2,impulse,6,False,1.0,0.0,0.10057497081191293,3.46,22.830150570558253,3.6338533849819408,OK
B0,0.5,0.1,0.0,2,impulse,7,False,1.0,0.0,0.10057497375318318,2.82,22.830147086664212,3.6338533907924573,OK
B0,0.5,0.1,0.0,2,impulse,8,False,1.0,0.0,0.1005749621222196,2.58,22.83016086337994,3.633853367815337,OK
B0,0.5,0.1,0.0,2,impulse,9,False,1.0,0.0,0.10057497130901716,3.18,22.830149981745198,3.633853385963977,OK
B0,0.5,0.1,0.0,2,impulse,10,False,1.0,0.0,0.10057497081191293,3.46,22.830150570558253,3.6338533849819408,OK
B0,0.5,0.1,0.0,2,impulse,11,False,1.0,0.0,0.10057496975457511,3.15,22.830151822960335,3.6338533828931596,OK
B0,0.5,0.1,0.0,2,impulse,12,False,1.0,0.0,0.10057496993380474,3.21,22.830151610665357,3.633853383247228,OK
B0,0.5,0.1,0.0,2,impulse,13,False,1.0,0.0,0.10057496447915365,2.66,22.83015807162423,3.6338533724714916,OK
B0,0.5,0.1,0.0,2,impulse,14,False,1.0,0.0,0.10057494058736464,2.27,22.830186371113545,3.6338533252729563,OK
B0,0.5,0.1,0.0,2,impulse,15,False,1.0,0.0,0.10057496020651292,2.5300000000000002,22.830163132507725,3.6338533640308355,OK
B0,0.5,0.1,0.0,2,impulse,16,False,1.0,0.0,0.10057497268911757,2.92,22.830148347035397,3.6338533886903868,OK
B0,0.5,0.1,0.0,2,impulse,17,False,1.0,0.0,0.10057497018388326,3.33,22.830151314450774,3.633853383741258,OK
B0,0.5,0.1,0.0,2,impulse,18,False,1.0,0.0,0.10057495677417536,2.46,22.830167198063787,3.633853357250213,OK
B0,0.5,0.1,0.0,2,impulse,19,False,1.0,0.0,0.10057497050212869,3.73,22.830150937493478,3.63385338436996,OK
B0,0.5,0.1,0.0,2,step,0,False,1.0,0.0,0.1019058652312096,3.94,24.95501631611395,3.6356103019910653,OK
B0,0.5,0.1,0.0,2,step,1,False,1.0,0.0,0.10190586184051162,3.45,24.955020385495153,3.6356102952040596,OK
B0,0.5,0.1,0.0,2,step,2,False,1.0,0.0,0.10190542944019668,2.23,24.955539334091412,3.63560942968979,OK
B0,0.5,0.1,0.0,2,step,3,False,1.0,0.0,0.10190586716516542,3.5100000000000002,24.955013995056802,3.635610305862179,OK
B0,0.5,0.1,0.0,2,step,4,False,1.0,0.0,0.10190591282162968,2.77,24.95495919996527,3.6356103972506753,OK
B0,0.5,0.1,0.0,2,step,5,False,1.0,0.0,0.10190578648287754,2.65,24.955110826703336,3.635610144364155,OK
B0,0.5,0.1,0.0,2,step,6,False,1.0,0.0,0.10190635695574159,2.2,24.9544261664024,3.6356112862561805,OK
B0,0.5,0.1,0.0,2,step,7,False,1.0,0.0,0.1019061007939535,2.38,24.954733602721355,3.6356107735069005,OK
B0,0.5,0.1,0.0,2,step,8,False,1.0,0.0,0.10190588879890532,2.94,24.95498803109662,3.635610349165457,OK
B0,0.5,0.1,0.0,2,step,9,False,1.0,0.0,0.1019058667334105,3.56,24.955014513232015,3.6356103049979556,OK
B0,0.5,0.1,0.0,2,step,10,False,1.0,0.0,0.10190506148601709,2.08,24.955980935423696,3.6356086931770397,OK
B0,0.5,0.1,0.0,2,step,11,False,1.0,0.0,0.10190586158632915,3.43,24.955020690554854,3.635610294695276,OK
